Product Name:,Brand Name,price,final price,discount price,stock,features,Descrption
 Lizol Citrus Disinfectant Surface Cleaner 975 ml ,Lizol,M.R.P: 179.00,Price: 165.00,You Save: 14.00,In Stock,   Recommended by Indian Medical AssociationKills 99.9 percent germsLeaves a fresh fragrance   ," Lizol Citrus Disinfectant Surface Cleaner 975 ml Keep your home fresh and germ-free with Lizol Citrus Disinfectant Floor Cleaner. It contains a distinctive formulation that kills 99. 9 Percent germs and gives 10 times better cleaning and germ protection. It is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home. It saves you from harmful germs whilst keeping your home clean. It removes odour and leaves a pleasant fragrance. So go ahead and buy this product online today! "
 Mr. Muscle Kiwi Dranex Drain Cleaner 50 g ,Kiwi,M.R.P: 25.00,Price: 23.25,You Save: 1.75,In Stock,   Cleans blocked drain pipes Melts grease & hair   ," Mr. Muscle Kiwi Dranex Drain Cleaner 50 g Drain problems, cleaning, and maintenance of pipes of washbasin and sink; all is now made easy with Mr. Muscle Kiwi Dranex Drain Cleaner that eliminates the blockage effortlessly without taking much of your time. It leaves a pleasant fragrance that removes foul smell while effectively dissolving the caught and blocked materials by cleaning the pipes. It kills all germs and offers you an instant solution to eliminate oil and dirt from the drainage pipes. So go ahead and buy this product online today! "
 Revive Liquid Stiffener 200 g ,Revive,M.R.P: 71.00,Price: 66.03,You Save: 4.97,In Stock,   Revive Liquid Stiffener dissolves evenly in water Upto 3x brighter Suitable for all colours   , Revive Liquid Stiffener 200 g Revive Liquid Stiffener adds life to your cotton and makes them soft and fresh. It is an easy and convenient way to starch your cotton. It can be used even on terry-cottons. The versatility of this product has made it one of the largest selling product in the category. Revive Liquid Stiffener dissolves evenly in water and delivers patch-free starching of cottons and cotton blends. So go ahead and buy this product online today! 
 Surf Excel Quick Wash Detergent Powder 500 g ,Surf Excel,M.R.P: 90.00,Price: 83.70,You Save: 6.30,In Stock,   Removes tough stains easilyEnsures whiter whites and glowing colours   ," Surf Excel Quick Wash Detergent Powder 500 g One product for more than just one kind of stain! Surf Excel Quick Wash Detergent Powder comes with the power of various stain removing agents like bleach, lemons etc. in one product. It gives the perfect wash for multiple stain problems in an easy manner. It removes various stains like those of curry, mud, pickle, grease, and ink. So go ahead and buy this product online today! "
 Patanjali Anti-Bacterial Neem Citrus Lemon Detergent Cake 250 g ,Patanjali,M.R.P: 16.00,Price: 14.88,You Save: 1.12,In Stock,   Patanjali Anti-Bacterial Neem Citrus Lemon Detergent Cake helps to give your clothes all-round cleanliness Soft on hands Maintains the whiteness of the clothes   ," Patanjali Anti-Bacterial Neem Citrus Lemon Detergent Cake 250 g Your whites will be whiter and the colours will be brighter with this Patanjali Anti-Bacterial Neem Citrus Lemon Detergent Cake. Known to remove the toughest stains, this detergent bar is gentle on hands & has a good fragrance. Keep your worries at bay with this powerful detergent bar, which shall make harsh stains, dirt, and grime disappear within seconds. So go ahead and buy this product online today! "
 Ariel Matic Top Load Detergent Powder 4 kg (Get Extra 2 kg Free) ,Ariel,"M.R.P: 1,050.00",Price: 800.00,You Save: 250.00,In Stock,   It generates the right amount of foamLeaves a pleasant scent   , Ariel Matic Top Load Detergent Powder 4 kg (Get Extra 2 kg Free) Ariel Matic Top Load Detergent Powder gives you tough stain removal in just one wash. It is designed especially for top load fully-automatic washing machines. It offers brilliant stain removal for full loads. It also provides deep down cleaning and long-lasting freshness. So go ahead and buy this product online today!How to use:Step1: Just 1.5 scoops for normal loads and 2 scoops for heavy loads. 
 Lizol Citrus Disinfectant Surface & FLoor Cleaner 975 ml (Buy 2 Get 1 500 ml Free) ,Lizol,M.R.P: 358.00,Price: 318.00,You Save: 40.00,In Stock,"    India's No.1 Floor Cleaning Brand, Recommended by the Indian Medical Association Removes 100 types of Stains & 100 Germ strains Use directly or diluted for regular use, Suitable for cleaning all kinds of surfaces Leaves a Pleasant Fragrance. Maximum Shelf Life Months 24 Country of Origin: India Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal and Neem, Available Sizes: 200ml, 500ml, 975ml and 2L  See more  "," Lizol Citrus Disinfectant Surface & FLoor Cleaner 975 ml (Buy 2 Get 1 500 ml Free) Lizol is India��s No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizol. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier and germ free. The product is available in 7 different fragrances and is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home.We are constantly exposed to micro-organisms. Exposure to bad germs can cause food poisoning, diarrhea and other kinds of sickness in individuals. The best way to fight them off is Lizol. Lizol floor cleaner saves you from harmful germs whilst keeping you and your home clean. So, practice good hygiene and cleanliness with Lizol that will prevent these problems.Lizol disinfectant surface cleaning liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavy soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor and furniture clean. So go ahead and buy this product online today! How to use: Step 1 : Pour Step 2 : Mix Step 3 : Mop "
 Surf Excel Matic Front Load Liquid Detergent 2 L ,Surf Excel,M.R.P: 390.00,Price: 295.00,You Save: 95.00,In Stock,   It generates the right amount of foamLeaves a pleasant scent   , Surf Excel Matic Front Load Liquid Detergent 2 L Surf Excel Matic Front Load Liquid Detergent removes stains effortlessly and leaves no residue on clothes or in machines. The 7-layer deep penetration formula of this Matic liquid works in partnership with the machine to remove tough stains in the machine itself. It ensures that your clothes not only look fresh but also smell fresh and are safe on your hands. So go ahead and buy this product online today! How to use:Step1: Pour some liquid on the tough stain.Rub the stain with the revolutionary stain scrubber cap. 
 Lizol Disinfectant Surface & Floor Cleaner Floral 975 ml (Buy 2 Get 1 500 ml Free) ,Lizol,M.R.P: 358.00,Price: 318.00,You Save: 40.00,In Stock,"    India's No.1 Floor Cleaning Brand, Recommended by the Indian Medical Association Removes 100 types of Stains & 100 Germ strains Use directly or diluted for regular use, Suitable for cleaning all kinds of surfaces Leaves a Pleasant Fragrance. Maximum Shelf Life Months 24 Country of Origin: India Available Variants: Pine, Floral, Citrus, Jasmine, Lavender, Sandal and Neem, Available Sizes: 200ml, 500ml, 975ml and 2L  See more  "," Lizol Disinfectant Surface & Floor Cleaner Floral 975 ml (Buy 2 Get 1 500 ml Free) Lizol is India��s No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizol. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier and germ free. The product is available in 7 different fragrances and is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home.We are constantly exposed to micro-organisms. Exposure to bad germs can cause food poisoning, diarrhea and other kinds of sickness in individuals. The best way to fight them off is Lizol. Lizol floor cleaner saves you from harmful germs whilst keeping you and your home clean. So, practice good hygiene and cleanliness with Lizol that will prevent these problems.Lizol disinfectant surface cleaning liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavy soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor and furniture clean. So go ahead and buy this product online today! How to use: Step 1 : Pour Step 2 : Mix Step 3 : Mop "
 Surf Excel Quick Wash Detergent Powder 2 kg ,Surf Excel,M.R.P: 370.00,Price: 333.00,You Save: 37.00,In Stock,   Surf Excel Quick Wash washing Powder removes tough stains easily Ensures whiter whites and glowing colours Dissolves quickly   ," Surf Excel Quick Wash Detergent Powder 2 kg One product for more than just one kind of stain! Surf Excel Quick Wash Detergent Powder comes with the power of various stain removing agents like bleach, lemon, etc. in one product. It gives the perfect wash for multiple stain problems in an easy manner. It removes various stains like curry, mud, pickle, grease, and ink. So go ahead and buy this product online today! "
